Date,Retracement,Type
2019/8/1 13:00,90%,"EMA/Gap,EMA/X"
2019/8/1 13:55,100%,"EMA/Gap,EMA/X"
2019/8/1 15:25,110%,"EMA/Gap,EMA/X,Failure"
2019/8/1 15:40,210%,"EMA/Gap,EMA/X"
2019/8/1 16:35,135%,EMA/Pb
2019/8/1 17:10,130%,"EMA/Gap,Trendfollow"
2019/8/1 17:25,90%,EMA/Gap
2019/8/1 17:40,130%,EMA/Pb
2019/8/1 18:10,160%,EMA/Pb
2019/8/1 19:10,65%,EMA/Gap
2019/8/1 20:20,80%,EMA/X
2019/8/1 21:05,150%,EMA/Pb
2019/8/1 21:30,320%,EMA/Pb
2019/8/1 22:00,200%,"EMA/Gap,Trendfollow"
2019/8/1 23:40,50%,EMA/Gap
2019/8/2 00:25,130%,"EMA/Pb,Failure"
2019/8/2 00:50,120%,"EMA/Gap,EMA/X"
2019/8/2 02:00,300%,EMA/Pb
2019/8/2 06:45,70%,EMA/Gap
2019/8/2 09:20,220%,"EMA/Gap,EMA/X"
2019/8/2 10:20,50%,EMA/Gap
2019/8/2 11:05,75%,EMA/Pb
2019/8/2 11:15,45%,EMA/Gap
2019/8/2 12:05,170%,EMA/Pb
2019/8/2 13:10,110%,"EMA/Gap,EMA/X"
2019/8/2 14:05,35%,EMA/Gap
2019/8/2 14:40,130%,EMA/Pb
2019/8/2 15:30,185%,"EMA/Gap,EMA/X"
2019/8/2 17:25,80%,EMA/Gap
2019/8/2 18:00,80%,"EMA/Gap,EMA/X"
2019/8/2 18:50,200%,"EMA/Gap,EMA/X"
2019/8/2 19:55,90%,"EMA/Gap,EMA/X"
2019/8/2 21:10,95%,"EMA/Gap,EMA/X"
2019/8/2 21:45,270%,"EMA/Gap,EMA/X"
2019/8/2 22:05,90%,EMA/Gap
2019/8/2 22:50,35%,EMA/Gap
2019/8/2 23:05,200%,EMA/Pb
2019/8/3 00:00,50%,EMA/Gap
2019/8/3 00:45,180%,EMA/Pb
2019/8/3 01:30,65%,"EMA/Gap,EMA/X"
2019/8/3 02:35,160%,"EMA/Gap,EMA/X"
2019/8/3 03:40,40%,EMA/Gap
2019/8/3 04:50,110%,"EMA/Gap,EMA/X"
2019/8/3 05:20,125%,"EMA/Gap,EMA/X"
